SEDE_CODIGO;PERIODO_ID;PERIODO_ANIO;CARACTER_ID;CARACTER_CODIGO;CARACTER_NOMBRE
105172800005;5;2018;1;01;Académico
105190000032;5;2018;1;01;Académico
105190000041;5;2018;1;01;Académico
105190000181;5;2018;1;01;Académico
105197000160;5;2018;1;01;Académico
105197000356;5;2018;1;01;Académico
105197000402;5;2018;1;01;Académico
105206000186;5;2018;1;01;Académico
105209000021;5;2018;1;01;Académico
105209000101;5;2018;1;01;Académico
105212000082;5;2018;1;01;Académico
105212000082;5;2018;2;02;Técnico
105212000112;5;2018;1;01;Académico
105212000155;5;2018;1;01;Académico
105212000163;5;2018;1;01;Académico
105212000368;5;2018;1;01;Académico
105212000503;5;2018;1;01;Académico
105212000511;5;2018;1;01;Académico
105212000511;5;2018;2;02;Técnico
105212000538;5;2018;1;01;Académico
105212000597;5;2018;1;01;Académico
105212000775;5;2018;1;01;Académico
105212000830;5;2018;1;01;Académico
105234000086;5;2018;1;01;Académico
105234000094;5;2018;1;01;Académico
105234000108;5;2018;1;01;Académico
105234000132;5;2018;1;01;Académico
105234000531;5;2018;1;01;Académico
105234001091;5;2018;1;01;Académico
105234001279;5;2018;1;01;Académico
105234001813;5;2018;1;01;Académico
105237000044;5;2018;1;01;Académico
105237000052;5;2018;1;01;Académico
105237000150;5;2018;1;01;Académico
105240000136;5;2018;1;01;Académico
105240800001;5;2018;1;01;Académico
105250000169;5;2018;1;01;Académico
105250000169;5;2018;2;02;Técnico
105250000185;5;2018;1;01;Académico
105250000339;5;2018;1;01;Académico
105250000665;5;2018;1;01;Académico
105250000932;5;2018;1;01;Académico
105250000941;5;2018;1;01;Académico
105250000975;5;2018;1;01;Académico
105250001262;5;2018;1;01;Académico
105250001289;5;2018;1;01;Académico
105264000013;5;2018;1;01;Académico
105264000111;5;2018;1;01;Académico
105266000061;5;2018;1;01;Académico
105266000169;5;2018;1;01;Académico
105266000177;5;2018;1;01;Académico
105266000207;5;2018;1;01;Académico
105266000274;5;2018;1;01;Académico
105266000282;5;2018;1;01;Académico
105266000312;5;2018;1;01;Académico
105266000347;5;2018;1;01;Académico
105266000363;5;2018;1;01;Académico
105266000428;5;2018;1;01;Académico
105266000452;5;2018;1;01;Académico
105266000461;5;2018;1;01;Académico
105266000681;5;2018;1;01;Académico
105266000801;5;2018;1;01;Académico
105266000924;5;2018;1;01;Académico
105266000941;5;2018;1;01;Académico
105361000087;5;2018;1;01;Académico
105361000273;5;2018;1;01;Académico
105361000443;5;2018;1;01;Académico
105361000451;5;2018;1;01;Académico
105364000215;5;2018;1;01;Académico
105364000398;5;2018;1;01;Académico
105364000401;5;2018;1;01;Académico
105364000401;5;2018;2;02;Técnico
105364800009;5;2018;1;01;Académico
105368000015;5;2018;1;01;Académico
105368000066;5;2018;1;01;Académico
105368000121;5;2018;1;01;Académico
105376000105;5;2018;1;01;Académico
105376000113;5;2018;1;01;Académico
105376000211;5;2018;1;01;Académico
105376000237;5;2018;1;01;Académico
105376000245;5;2018;1;01;Académico
105376000440;5;2018;1;01;Académico
105376000571;5;2018;1;01;Académico
105380000063;5;2018;1;01;Académico
105380000527;5;2018;1;01;Académico
105380019589;5;2018;1;01;Académico
105380019597;5;2018;1;01;Académico
105380019601;5;2018;1;01;Académico
105380019619;5;2018;1;01;Académico
105380800019;5;2018;1;01;Académico
105387000051;5;2018;1;01;Académico
105387000077;5;2018;1;01;Académico
105400000120;5;2018;1;01;Académico
105400000189;5;2018;1;01;Académico
105411000199;5;2018;1;01;Académico
105425000019;5;2018;1;01;Académico
105425000132;5;2018;1;01;Académico
105440000068;5;2018;1;01;Académico
105440000068;5;2018;2;02;Técnico
105440000131;5;2018;1;01;Académico
105440000131;5;2018;2;02;Técnico
105440000386;5;2018;1;01;Académico
105440000386;5;2018;3;03;Normalista
105440000408;5;2018;1;01;Académico
105440000408;5;2018;2;02;Técnico
105440000441;5;2018;1;01;Académico
105440000467;5;2018;2;02;Técnico
105440000653;5;2018;1;01;Académico
105440001021;5;2018;1;01;Académico
105467000019;5;2018;1;01;Académico
105475000044;5;2018;1;01;Académico
105475000125;5;2018;1;01;Académico
105480000010;5;2018;1;01;Académico
105480000010;5;2018;2;02;Técnico
105480000036;5;2018;1;01;Académico
105483000347;5;2018;1;01;Académico
105490000018;5;2018;1;01;Académico
105490000026;5;2018;1;01;Académico
105490000476;5;2018;1;01;Académico
105490005494;5;2018;1;01;Académico
105495000024;5;2018;1;01;Académico
105495000130;5;2018;1;01;Académico
105495000393;5;2018;1;01;Académico
105495000687;5;2018;1;01;Académico
105501000198;5;2018;1;01;Académico
105541000026;5;2018;1;01;Académico
105541000026;5;2018;2;02;Técnico
105543000325;5;2018;1;01;Académico
105576000096;5;2018;1;01;Académico
105576000223;5;2018;1;01;Académico
105579000143;5;2018;1;01;Académico
105579000160;5;2018;1;01;Académico
105579000186;5;2018;1;01;Académico
105579000241;5;2018;1;01;Académico
105579000259;5;2018;1;01;Académico
105579000305;5;2018;1;01;Académico
105579000623;5;2018;1;01;Académico
105579000798;5;2018;1;01;Académico
105579000909;5;2018;1;01;Académico
105579000909;5;2018;3;03;Normalista
105591000027;5;2018;1;01;Académico
105591000027;5;2018;2;02;Técnico
105736000071;5;2018;1;01;Académico
105736000284;5;2018;1;01;Académico
105736000349;5;2018;1;01;Académico
105736000616;5;2018;1;01;Académico
105756000124;5;2018;1;01;Académico
105756000124;5;2018;2;02;Técnico
105756000311;5;2018;1;01;Académico
105756000493;5;2018;1;01;Académico
105756000493;5;2018;2;02;Técnico
105756000507;5;2018;1;01;Académico
105756000531;5;2018;1;01;Académico
105756001775;5;2018;1;01;Académico
105761000124;5;2018;1;01;Académico
105761000299;5;2018;1;01;Académico
105761000329;5;2018;1;01;Académico
105789000235;5;2018;1;01;Académico
105789000278;5;2018;1;01;Académico
105789000278;5;2018;2;02;Técnico
105789000472;5;2018;1;01;Académico
105789000600;5;2018;1;01;Académico
105790000184;5;2018;1;01;Académico
105790000192;5;2018;1;01;Académico
105790000206;5;2018;1;01;Académico
105792000173;5;2018;1;01;Académico
105792000190;5;2018;1;01;Académico
105792000238;5;2018;1;01;Académico
105809000016;5;2018;1;01;Académico
105809000181;5;2018;1;01;Académico
105819000022;5;2018;1;01;Académico
105819000294;5;2018;1;01;Académico
105837000153;5;2018;1;01;Académico
105837000161;5;2018;1;01;Académico
105837000200;5;2018;1;01;Académico
105837000242;5;2018;1;01;Académico
105837001150;5;2018;1;01;Académico
105837003586;5;2018;1;01;Académico
105837003870;5;2018;1;01;Académico
105837004116;5;2018;1;01;Académico
105837004922;5;2018;1;01;Académico
105837005155;5;2018;1;01;Académico
105837005571;5;2018;1;01;Académico
105837005830;5;2018;1;01;Académico
105837005864;5;2018;1;01;Académico
105837006054;5;2018;1;01;Académico
105837006062;5;2018;1;01;Académico
105837006097;5;2018;1;01;Académico
105837006097;5;2018;2;02;Técnico
105837006194;5;2018;1;01;Académico
105842000382;5;2018;1;01;Académico
105847000241;5;2018;1;01;Académico
105847000453;5;2018;1;01;Académico
105847000771;5;2018;1;01;Académico
105847000771;5;2018;3;03;Normalista
105847001191;5;2018;1;01;Académico
105847001204;5;2018;1;01;Académico
105847001204;5;2018;2;02;Técnico
105847001239;5;2018;1;01;Académico
105854000302;5;2018;1;01;Académico
105854000302;5;2018;2;02;Técnico
105856000067;5;2018;1;01;Académico
105856000296;5;2018;1;01;Académico
105856000296;5;2018;2;02;Técnico
105858000137;5;2018;1;01;Académico
105858000323;5;2018;1;01;Académico
105858000421;5;2018;1;01;Académico
105861000199;5;2018;1;01;Académico
105873000232;5;2018;1;01;Académico
105885000025;5;2018;1;01;Académico
105885000076;5;2018;1;01;Académico
105887000057;5;2018;1;01;Académico
105887000073;5;2018;1;01;Académico
105887000120;5;2018;1;01;Académico
105887000146;5;2018;1;01;Académico
105887000464;5;2018;1;01;Académico
105887000499;5;2018;1;01;Académico
105887000600;5;2018;1;01;Académico
105887000600;5;2018;2;02;Técnico
105887000669;5;2018;1;01;Académico
105887000693;5;2018;1;01;Académico
105887000715;5;2018;1;01;Académico
108001003068;5;2018;1;01;Académico
108001003076;5;2018;1;01;Académico
108001003084;5;2018;1;01;Académico
108001003106;5;2018;1;01;Académico
108001003114;5;2018;1;01;Académico
108001003122;5;2018;1;01;Académico
108001003165;5;2018;1;01;Académico
108001003165;5;2018;2;02;Técnico
108001003190;5;2018;1;01;Académico
108001003190;5;2018;2;02;Técnico
108001003262;5;2018;1;01;Académico
108001003271;5;2018;1;01;Académico
108001003289;5;2018;1;01;Académico
108001003297;5;2018;1;01;Académico
108001003297;5;2018;2;02;Técnico
108001003327;5;2018;1;01;Académico
108001003335;5;2018;1;01;Académico
108001003343;5;2018;1;01;Académico
108001003360;5;2018;1;01;Académico
108001003378;5;2018;1;01;Académico
108001003386;5;2018;1;01;Académico
108001003394;5;2018;1;01;Académico
108001003408;5;2018;1;01;Académico
108001003424;5;2018;1;01;Académico
108001003432;5;2018;1;01;Académico
108001003459;5;2018;2;02;Técnico
108001003475;5;2018;1;01;Académico
108001003505;5;2018;1;01;Académico
108001003513;5;2018;1;01;Académico
108001003548;5;2018;1;01;Académico
108001003556;5;2018;1;01;Académico
108001003572;5;2018;1;01;Académico
108001003599;5;2018;1;01;Académico
108001003602;5;2018;1;01;Académico
108001003611;5;2018;1;01;Académico
108001003645;5;2018;1;01;Académico
108001003670;5;2018;1;01;Académico
108001003688;5;2018;1;01;Académico
108001003688;5;2018;2;02;Técnico
108001003696;5;2018;1;01;Académico
108001003700;5;2018;1;01;Académico
108001003726;5;2018;1;01;Académico
108001003734;5;2018;1;01;Académico
108001003751;5;2018;1;01;Académico
108001003769;5;2018;1;01;Académico
108001003777;5;2018;1;01;Académico
108001003840;5;2018;1;01;Académico
108001003874;5;2018;1;01;Académico
108001003998;5;2018;1;01;Académico
108001003998;5;2018;2;02;Técnico
108001004030;5;2018;1;01;Académico
108001004536;5;2018;2;02;Técnico
108001004617;5;2018;1;01;Académico
108001004684;5;2018;1;01;Académico
108001004692;5;2018;1;01;Académico
108001004706;5;2018;1;01;Académico
108001004714;5;2018;1;01;Académico
108001004731;5;2018;1;01;Académico
108001004757;5;2018;1;01;Académico
108001004790;5;2018;1;01;Académico
108001004986;5;2018;1;01;Académico
108001004994;5;2018;1;01;Académico
108001005028;5;2018;1;01;Académico
108001005117;5;2018;1;01;Académico
108001005516;5;2018;1;01;Académico
108001005567;5;2018;1;01;Académico
108001005567;5;2018;2;02;Técnico
108001006687;5;2018;1;01;Académico
108001006806;5;2018;1;01;Académico
108001007179;5;2018;1;01;Académico
108001007675;5;2018;1;01;Académico
108001007675;5;2018;2;02;Técnico
108078000053;5;2018;1;01;Académico
108078000061;5;2018;1;01;Académico
108078000088;5;2018;1;01;Académico
108078000096;5;2018;1;01;Académico
108078000100;5;2018;1;01;Académico
108078000142;5;2018;1;01;Académico
108078000151;5;2018;1;01;Académico
108078000169;5;2018;1;01;Académico
108078000193;5;2018;1;01;Académico
108078000215;5;2018;1;01;Académico
108078000215;5;2018;2;02;Técnico
108078000321;5;2018;1;01;Académico
108078000410;5;2018;1;01;Académico
108078000657;5;2018;1;01;Académico
108078000673;5;2018;2;02;Técnico
108137000020;5;2018;1;01;Académico
108137000038;5;2018;1;01;Académico
108137000054;5;2018;1;01;Académico
108137000062;5;2018;1;01;Académico
108141000018;5;2018;1;01;Académico
108141000051;5;2018;1;01;Académico
108141000085;5;2018;1;01;Académico
108296000014;5;2018;1;01;Académico
108296000014;5;2018;2;02;Técnico
108296000031;5;2018;1;01;Académico
108296000049;5;2018;1;01;Académico
108296000162;5;2018;1;01;Académico
108296000197;5;2018;1;01;Académico
108296800002;5;2018;1;01;Académico
108372000011;5;2018;1;01;Académico
108372000053;5;2018;1;01;Académico
108372000061;5;2018;1;01;Académico
108372000169;5;2018;1;01;Académico
108421000013;5;2018;1;01;Académico
108421000072;5;2018;1;01;Académico
108421000081;5;2018;1;01;Académico
108421000099;5;2018;1;01;Académico
108421000153;5;2018;1;01;Académico
108421000196;5;2018;1;01;Académico
108421000226;5;2018;1;01;Académico
108421000234;5;2018;2;02;Técnico
108433000019;5;2018;1;01;Académico
108433000019;5;2018;2;02;Técnico
108433000027;5;2018;1;01;Académico
108433000035;5;2018;1;01;Académico
108433000051;5;2018;1;01;Académico
108433000116;5;2018;1;01;Académico
108433000779;5;2018;1;01;Académico
108433001082;5;2018;1;01;Académico
108433001082;5;2018;2;02;Técnico
108433001139;5;2018;1;01;Académico
108433001147;5;2018;1;01;Académico
108433001155;5;2018;1;01;Académico
108433075663;5;2018;1;01;Académico
108433075761;5;2018;1;01;Académico
108433075779;5;2018;1;01;Académico
108433800066;5;2018;1;01;Académico
108436000036;5;2018;1;01;Académico
108436000052;5;2018;1;01;Académico
108436000061;5;2018;1;01;Académico
108436000079;5;2018;1;01;Académico
108436000150;5;2018;1;01;Académico
108520000009;5;2018;1;01;Académico
108520000009;5;2018;2;02;Técnico
108520000025;5;2018;1;01;Académico
108520000033;5;2018;1;01;Académico
108520000041;5;2018;1;01;Académico
108520000050;5;2018;1;01;Académico
108520000131;5;2018;1;01;Académico
108520000165;5;2018;1;01;Académico
108520000203;5;2018;1;01;Académico
108549000075;5;2018;1;01;Académico
108558000029;5;2018;1;01;Académico
108558000037;5;2018;1;01;Académico
108558000045;5;2018;1;01;Académico
108558000061;5;2018;1;01;Académico
108558000088;5;2018;2;02;Técnico
108558000100;5;2018;1;01;Académico
108560000001;5;2018;1;01;Académico
108560000044;5;2018;1;01;Académico
108560000052;5;2018;1;01;Académico
108560000061;5;2018;1;01;Académico
108560000141;5;2018;1;01;Académico
108560000141;5;2018;2;02;Técnico
108560000265;5;2018;1;01;Académico
108560000303;5;2018;1;01;Académico
108560000303;5;2018;2;02;Técnico
108573000043;5;2018;1;01;Académico
108573000043;5;2018;2;02;Técnico
108573000051;5;2018;1;01;Académico
108573000051;5;2018;2;02;Técnico
108573000060;5;2018;1;01;Académico
108573000159;5;2018;1;01;Académico
108573000159;5;2018;2;02;Técnico
108573000442;5;2018;1;01;Académico
108573074888;5;2018;1;01;Académico
108606000010;5;2018;1;01;Académico
108606000028;5;2018;1;01;Académico
108606000036;5;2018;1;01;Académico
108606000044;5;2018;1;01;Académico
108606000125;5;2018;1;01;Académico
108606000176;5;2018;1;01;Académico
108606000214;5;2018;1;01;Académico
108758078839;5;2018;1;01;Académico
108758078855;5;2018;1;01;Académico
108758078880;5;2018;1;01;Académico
108758078944;5;2018;1;01;Académico
108758078944;5;2018;2;02;Técnico
108758800071;5;2018;1;01;Académico
108758800089;5;2018;1;01;Académico
108758800097;5;2018;1;01;Académico
108758800097;5;2018;2;02;Técnico
108758800127;5;2018;1;01;Académico
108758800241;5;2018;1;01;Académico
108758800283;5;2018;1;01;Académico
108770000012;5;2018;1;01;Académico
108770000021;5;2018;1;01;Académico
108770000047;5;2018;1;01;Académico
108770000152;5;2018;1;01;Académico
108832000022;5;2018;1;01;Académico
108832000031;5;2018;1;01;Académico
108832000111;5;2018;2;02;Técnico
108849000018;5;2018;1;01;Académico
108849000026;5;2018;1;01;Académico
108849000042;5;2018;1;01;Académico
108849000042;5;2018;2;02;Técnico
108849000123;5;2018;1;01;Académico
111001000078;5;2018;1;01;Académico
111001000124;5;2018;1;01;Académico
111001000132;5;2018;1;01;Académico
111001000213;5;2018;1;01;Académico
111001000272;5;2018;1;01;Académico
111001000353;5;2018;1;01;Académico
111001000612;5;2018;1;01;Académico
111001001121;5;2018;1;01;Académico
111001001279;5;2018;1;01;Académico
111001001279;5;2018;2;02;Técnico
111001001538;5;2018;1;01;Académico
111001002330;5;2018;1;01;Académico
111001002895;5;2018;1;01;Académico
111001002909;5;2018;1;01;Académico
111001006122;5;2018;1;01;Académico
111001006483;5;2018;1;01;Académico
111001008168;5;2018;1;01;Académico
